REF_AREA,REF_AREA_LABEL,date,food_inflation
LKA,Sri Lanka,2001-01-01,20.325061
LKA,Sri Lanka,2001-02-01,20.897738
LKA,Sri Lanka,2001-03-01,16.556287
LKA,Sri Lanka,2001-04-01,17.395761
LKA,Sri Lanka,2001-05-01,20.435617
LKA,Sri Lanka,2001-06-01,18.414096
LKA,Sri Lanka,2001-07-01,16.753383
LKA,Sri Lanka,2001-08-01,14.283015
LKA,Sri Lanka,2001-09-01,18.76239
LKA,Sri Lanka,2001-10-01,17.718344
LKA,Sri Lanka,2001-11-01,18.642748
LKA,Sri Lanka,2001-12-01,13.517612
LKA,Sri Lanka,2002-01-01,11.095067
LKA,Sri Lanka,2002-02-01,10.611054
LKA,Sri Lanka,2002-03-01,14.280612
LKA,Sri Lanka,2002-04-01,10.28904
LKA,Sri Lanka,2002-05-01,12.47378
LKA,Sri Lanka,2002-06-01,13.383576
LKA,Sri Lanka,2002-07-01,13.498157
LKA,Sri Lanka,2002-08-01,12.596644
LKA,Sri Lanka,2002-09-01,9.203661
LKA,Sri Lanka,2002-10-01,10.16082
LKA,Sri Lanka,2002-11-01,11.293153
LKA,Sri Lanka,2002-12-01,14.114947
LKA,Sri Lanka,2003-01-01,17.080107
LKA,Sri Lanka,2003-02-01,13.706994
LKA,Sri Lanka,2003-03-01,9.865003
LKA,Sri Lanka,2003-04-01,10.359349
LKA,Sri Lanka,2003-05-01,7.476579
LKA,Sri Lanka,2003-06-01,5.567077
LKA,Sri Lanka,2003-07-01,4.220764
LKA,Sri Lanka,2003-08-01,4.53225
LKA,Sri Lanka,2003-09-01,5.968576
LKA,Sri Lanka,2003-10-01,4.838868
LKA,Sri Lanka,2003-11-01,5.522499
LKA,Sri Lanka,2003-12-01,6.228186
LKA,Sri Lanka,2004-01-01,0.638732
LKA,Sri Lanka,2004-02-01,1.115487
LKA,Sri Lanka,2004-03-01,3.042998
LKA,Sri Lanka,2004-04-01,5.757528
LKA,Sri Lanka,2004-05-01,7.384811
LKA,Sri Lanka,2004-06-01,8.426888
LKA,Sri Lanka,2004-07-01,11.057875
LKA,Sri Lanka,2004-08-01,13.062143
LKA,Sri Lanka,2004-09-01,14.483057
LKA,Sri Lanka,2004-10-01,15.189196
LKA,Sri Lanka,2004-11-01,16.365828
LKA,Sri Lanka,2004-12-01,17.308269
LKA,Sri Lanka,2005-01-01,16.652272
LKA,Sri Lanka,2005-02-01,17.712124
LKA,Sri Lanka,2005-03-01,19.478124
LKA,Sri Lanka,2005-04-01,19.431039
LKA,Sri Lanka,2005-05-01,15.034191
LKA,Sri Lanka,2005-06-01,12.919226
LKA,Sri Lanka,2005-07-01,13.46289
LKA,Sri Lanka,2005-08-01,15.44008
LKA,Sri Lanka,2005-09-01,13.882052
LKA,Sri Lanka,2005-10-01,14.515906
LKA,Sri Lanka,2005-11-01,11.099701
LKA,Sri Lanka,2005-12-01,6.874611
LKA,Sri Lanka,2006-01-01,9.106039
LKA,Sri Lanka,2006-02-01,10.317955
LKA,Sri Lanka,2006-03-01,9.773055
LKA,Sri Lanka,2006-04-01,10.045731
LKA,Sri Lanka,2006-05-01,11.573184
LKA,Sri Lanka,2006-06-01,13.186639
LKA,Sri Lanka,2006-07-01,12.436366
LKA,Sri Lanka,2006-08-01,12.495275
LKA,Sri Lanka,2006-09-01,13.835316
LKA,Sri Lanka,2006-10-01,14.494245
LKA,Sri Lanka,2006-11-01,15.516977
LKA,Sri Lanka,2006-12-01,16.874757
LKA,Sri Lanka,2007-01-01,17.184348
LKA,Sri Lanka,2007-02-01,19.109765
LKA,Sri Lanka,2007-03-01,18.920318
LKA,Sri Lanka,2007-04-01,17.986466
LKA,Sri Lanka,2007-05-01,16.49471
LKA,Sri Lanka,2007-06-01,17.019796
LKA,Sri Lanka,2007-07-01,19.376737
LKA,Sri Lanka,2007-08-01,20.749296
LKA,Sri Lanka,2007-09-01,20.320998
LKA,Sri Lanka,2007-10-01,22.869879
LKA,Sri Lanka,2007-11-01,24.403963
LKA,Sri Lanka,2007-12-01,23.61037
LKA,Sri Lanka,2008-01-01,26.596162
LKA,Sri Lanka,2008-02-01,27.551512
LKA,Sri Lanka,2008-03-01,30.213211
LKA,Sri Lanka,2008-04-01,31.834854
LKA,Sri Lanka,2008-05-01,32.977774
LKA,Sri Lanka,2008-06-01,36.269708
LKA,Sri Lanka,2008-07-01,34.067473
LKA,Sri Lanka,2008-08-01,31.723014
LKA,Sri Lanka,2008-09-01,30.502545
LKA,Sri Lanka,2008-10-01,25.272503
LKA,Sri Lanka,2008-11-01,20.354006
LKA,Sri Lanka,2008-12-01,17.608197
LKA,Sri Lanka,2009-01-01,13.049382
LKA,Sri Lanka,2009-02-01,9.279002
LKA,Sri Lanka,2009-03-01,6.510054
LKA,Sri Lanka,2009-04-01,3.235171
LKA,Sri Lanka,2009-05-01,4.45476
LKA,Sri Lanka,2009-06-01,0.926869
LKA,Sri Lanka,2009-07-01,1.480431
LKA,Sri Lanka,2009-08-01,1.204341
LKA,Sri Lanka,2009-09-01,1.202536
LKA,Sri Lanka,2009-10-01,1.949759
LKA,Sri Lanka,2009-11-01,3.64863
LKA,Sri Lanka,2009-12-01,6.245954
LKA,Sri Lanka,2010-01-01,8.828379
LKA,Sri Lanka,2010-02-01,9.395547
LKA,Sri Lanka,2010-03-01,8.869294
LKA,Sri Lanka,2010-04-01,8.447539
LKA,Sri Lanka,2010-05-01,7.027722
LKA,Sri Lanka,2010-06-01,6.379911
LKA,Sri Lanka,2010-07-01,5.506431
LKA,Sri Lanka,2010-08-01,6.175441
LKA,Sri Lanka,2010-09-01,7.092529
LKA,Sri Lanka,2010-10-01,8.089051
LKA,Sri Lanka,2010-11-01,8.580972
LKA,Sri Lanka,2010-12-01,8.486849
LKA,Sri Lanka,2011-01-01,7.793142
LKA,Sri Lanka,2011-02-01,8.997869
LKA,Sri Lanka,2011-03-01,9.621096
LKA,Sri Lanka,2011-04-01,10.991557
LKA,Sri Lanka,2011-05-01,10.138516
LKA,Sri Lanka,2011-06-01,8.813742
LKA,Sri Lanka,2011-07-01,9.258104
LKA,Sri Lanka,2011-08-01,8.712473
LKA,Sri Lanka,2011-09-01,7.935505
LKA,Sri Lanka,2011-10-01,6.376878
LKA,Sri Lanka,2011-11-01,5.878041
LKA,Sri Lanka,2011-12-01,6.07218
LKA,Sri Lanka,2012-01-01,4.65345
LKA,Sri Lanka,2012-02-01,3.355677
LKA,Sri Lanka,2012-03-01,6.76366
LKA,Sri Lanka,2012-04-01,7.5942
LKA,Sri Lanka,2012-05-01,8.70656
LKA,Sri Lanka,2012-06-01,11.551165
LKA,Sri Lanka,2012-07-01,12.344038
LKA,Sri Lanka,2012-08-01,11.876742
LKA,Sri Lanka,2012-09-01,11.346578
LKA,Sri Lanka,2012-10-01,11.112272
LKA,Sri Lanka,2012-11-01,11.857135
LKA,Sri Lanka,2012-12-01,11.472567
LKA,Sri Lanka,2013-01-01,12.257198
LKA,Sri Lanka,2013-02-01,12.275426
LKA,Sri Lanka,2013-03-01,9.450174
